id,account,group,topic,text
p0000,syn_01,synthetic,flavour_restrictions,"Grown consumers are entitled to make their own choices about safer products. Ultimately, international evidence suggests these products are markedly less harmful than smoking. Policymakers should pursue evidence-based policy rather than restriction."
p0001,pro_02,professional,advertising_regulation,"We caution against framing that treats commercial messaging as neutral public information. Survey data from our regional partners show uneven retailer compliance with existing age checks. The committee's analysis indicates that excise structure, not headline rate alone, drives substitution behaviour. We remain concerned about marketing that appears designed to appeal to under-eighteens."
p0002,org_12,organic,age_restrictions,guess we'll see what teh consultation says from a public health standpoint the priority should be young people
p0003,org_05,organic,taxation,my coil keeps burning out anyone else?? 🤷
p0004,pro_07,professional,harm_reduction_framing,We will continue to scrutinise third-party groups that do not disclose their funding sources. Article 5.3 obligations mean policymakers should document and publish all industry contacts.
p0005,org_09,organic,flavour_restrictions,"personal responsibility matters but so does keeping safer options affordable and legal 💀 balanced regulation is fine but please don't price ordinary quitters out 🔥 as an ex-smoker I think adult choice has to count for something in this debate !! the corner shop near me got raided for selling to kids, that's teh real problem not em 😂"
p0006,syn_14,synthetic,enforcement_policy,"Enforcing existing age verification is more effective than new blanket rules. Worth remembering. Ultimately, a growing body of evidence frames these alternatives as reduced-risk. At the same time, policy debate overlooks the adults who quit smoking using these products."
p0007,org_10,organic,youth_exposure,the disposables are an evnironmental nightmare too btw …
p0008,org_02,organic,youth_exposure,hmm i switched and it helped me but i wouldnt recommend it to a non smoker !!
p0009,org_26,organic,enforcement_policy,"adult smokers trying to quit shouldn't be an afterthought in this debate i do think proportionate rules make more sense than a blanket ban got a sore throat from a dodgy disposable, never again"
p0010,mix_08,mixed,age_restrictions,"fwiw responsible adults should really really retain the freedom to choose smoke-free products. Notably, innovation in this category has helped many adults move away from smoking. Responsible regulaton, not prohibition, is the proportionate path forward imo."
p0011,pro_03,professional,taxation,"We caution against framing that treats commercial messaging as neutral public information. Frontline cessation services report rising demand from young clients, and we need resourcing to match."
p0012,pro_07,professional,retail_licensing,Our briefing summarises the trial evidence without overstating the strength of individual findings. Our position is that protecting minors and supporting adult quit attempts are not mutually exclusive goals. Survey data from our regional partners show uneven retailer compliance with existing age checks.
p0013,syn_10,synthetic,harm_reduction_framing,"sensible oversight protects children without resorting to outright bans. In practice, informed adult users ought to keep access to reduced-risk options. Importantly, applying the rules already on the books works better than fresh prohibitions. Policymakers should pursue evidence-based policy rather than restriction."
p0014,org_24,organic,flavour_restrictions,evidence is mixed and policy should reflect that uncertainty enforcement matters more than the wording of the statute honestly
p0015,org_31,organic,flavour_restrictions,"fwiw we banned cig ads for a reason, why is this any different … the disposables are an environmental nightmare too btw 💀"
p0016,org_22,organic,retail_licensing,"wait battery died at the worst time today ugh 🔥 got a sore throat from a dodgy disposable, never again !! wait my coil keeps burning out anyone else?? ??"
p0017,org_24,organic,harm_reduction_framing,"tried the mango pods, way too sweet for me, went back to mint the regulatory balance here is genuinely difficult to get right i do think proportionate rules make more sense than a blanket ban"
p0018,syn_09,synthetic,taxation,"Treating adult consumers as incapable of informed choice is patronising. At the same time, stronger enforcement of existing safeguards is preferable to broad new bans. Responsible regulation, not prohibition, is the proportionate path forward."
p0019,org_28,organic,harm_reduction_framing,"yeah why punish ex smokers for teh sins of a few dodgy shops 😂 prohibition never works, it just creates a black makret …"
p0020,org_33,organic,enforcement_policy,look the disposables are an environmental nightmare too btw …
p0021,syn_03,synthetic,youth_exposure,"Heavy-handed restrictions could reverse the gains made by adult switchers. Notably, applying the rules already on the books works better than fresh prohibitions. Importantly, scientific evidence continues to position these products as less harmful. A proportionate, evidence-based approach serves public health best."
p0022,org_02,organic,advertising_regulation,hmm im an adult i can decide what i put in my boyd thanks honestly advertising near schools should just be illegal full stop 🔥
p0023,mix_02,mixed,enforcement_policy,"It is that simple. Punitive taxation penalises the very smokers we want to help switch. That said, cessation support should really include the option that actually works for people. A proportionate, evidence-based approach serves public health best imo."
p0024,org_00,organic,flavour_restrictions,"the chemist near me stopped stocking my brand, gutted 🙄 wait enforcement is non existent round here, shops sell to anyone 🙄 complicated issue, not as black and white as twitter makes out 🔥"
p0025,org_19,organic,youth_exposure,"idk nanny state nonsense, regulate the cowboys not the rest of us ?? the tax hike means i might as well smoke again, great job 🙄"
p0026,org_31,organic,advertising_regulation,"flavours lik ebubblegum are obviously aimed at teenagers come on 👀 nah anyway who's watching the match tonight 😂 hmm nanny state nonsense, regulate the cowboys not the rest of us ??"
p0027,org_27,organic,enforcement_policy,"evidence is mixed and policy should reflect that uncertainty enforcement matters more than the wording of the statute honestly we banned cig ads for a erason, why is this any different"
